,Team,Arrival_19,Departure_19,Arrival_18,Departure_18,Arrival_17,Departure_17,League,Total_Arrivals,Total_Departures,Average Transfer Spend
6,Stade Rennais FC,54.50,54.50,18.00,18.50,53.90,15.80,Ligue 1,126.4,88.8,12.533333333333337
7,AS Saint-Étienne,0,13.00,43.85,15.00,18.70,19.30,Ligue 1,62.55,47.3,5.083333333333333
8,FC Girondins Bordeaux,7.00,34.25,21.29,50.70,32.60,28.25,Ligue 1,60.89,113.2,-17.436666666666667
9,RC Strasbourg Alsace,9.00,4.50,15.75,14.00,3.90,2.00,Ligue 1,28.65,20.5,2.7166666666666663
10,FC Toulouse,14.00,15.15,18.45,35.50,3.50,13.00,Ligue 1,35.95,63.65,-9.233333333333333
11,HSC Montpellier,0,20.30,40.00,10.15,25.50,5.70,Ligue 1,65.5,36.150000000000006,9.783333333333331
12,Stade Reims,13.70,12.00,15.50,11.00,0,2.90,Ligue 1,29.2,25.9,1.1000000000000003
13,FC Nantes,14.25,40.00,15.10,22.20,11.30,10.00,Ligue 1,40.650000000000006,72.2,-10.516666666666666
14,SCO Angers,10.40,34.00,4.45,21.00,12.40,18.00,Ligue 1,27.25,73.0,-15.25
15,SC Amiens,3.50,18.15,5.44,6.64,10.00,6.63,Ligue 1,18.94,31.419999999999998,-4.159999999999999
16,Nîmes Olympique,8.60,20.50,3.15,0,0.15,0,Ligue 1,11.9,20.5,-2.8666666666666667
17,FCO Dijon,7.30,25.50,9.20,4.00,5.50,15.00,Ligue 1,22.0,44.5,-7.5
18,FC Metz,10.35,0.8,8.60,14.09,2.50,22.85,Ligue 1,21.45,37.74,-5.430000000000001
19,Stade Brest 29,7.50,0.5,0,7.00,0,0,Ligue 1,7.5,7.5,0.0
0,Ajax Amsterdam,57.70,208.25,50.65,17.55,26.25,81.20,Eredivisie,134.6,307.0,-57.46666666666667
1,PSV Eindhoven,0,35.75,63.85,21.25,17.55,27.90,Eredivisie,81.4,84.9,-1.1666666666666667
2,Feyenoord Rotterdam,7.30,18.40,2.00,8.95,26.80,33.30,Eredivisie,36.1,60.64999999999999,-8.18333333333333
3,AZ Alkmaar,6.50,18.30,6.80,30.23,5.70,12.00,Eredivisie,19.0,60.53,-13.843333333333334
4,FC Utrecht,1.45,3.55,2.55,6.40,1.10,11.00,Eredivisie,5.1,20.95,-5.283333333333333
5,Vitesse Arnhem,0,1.90,8.10,1.89,0,4.45,Eredivisie,8.1,8.24,-0.046666666666666856
6,SC Heerenveen,2.55,12.40,1.39,10.15,4.65,14.20,Eredivisie,8.59,36.75,-9.386666666666667
7,FC Groningen,0.15,14.45,3.20,2.50,0.375,4.25,Eredivisie,3.725,21.2,-5.824999999999999
8,FC Twente Enschede,0,0,0,0,3.00,0.4,Eredivisie,3.0,0.4,0.8666666666666667
9,Willem II Tilburg,0.25,0.78,0.1,3.50,0.225,0.15,Eredivisie,0.575,4.430000000000001,-1.2850000000000001
10,Heracles Almelo,0,3.75,0.4,3.00,0.7,6.10,Eredivisie,1.1,12.85,-3.9166666666666665
11,PEC Zwolle,1.35,5.90,2.18,5.25,0,0,Eredivisie,3.5300000000000002,11.15,-2.54
12,Fortuna Sittard,0,0,0,0,0.24,2.00,Eredivisie,0.24,2.0,-0.5866666666666667
13,Sparta Rotterdam,0,3.00,0,2.13,0,3.75,Eredivisie,0.0,8.879999999999999,-2.9599999999999995
14,VVV-Venlo,0.5,2.50,0,1.00,0,0,Eredivisie,0.5,3.5,-1.0
15,ADO Den Haag,0,0,2.30,0,2.30,0,Eredivisie,4.6,0.0,1.5333333333333332
16,FC Emmen,0.5,1.50,0.05,0,0,0,Eredivisie,0.55,1.5,-0.31666666666666665
17,RKC Waalwijk,0,0,0,0,0,0.05,Eredivisie,0.0,0.05,-0.016666666666666666
